Algoritmo;Precision;F1_Score;Latencia_Media;Verdaderos_Positivos_TP;Falsos_Positivos_FP;Falsos_Negativos_FN
Z-Score_Termico;0.00%;0.0000;0.0 seg;0;0;1
EWMA_Termico;0.00%;0.0000;0.0 seg;0;0;1
Z-Score_Termico;0.00%;0.0000;0.0 seg;0;0;1
EWMA_Termico;0.00%;0.0000;0.0 seg;0;0;1
Logica_Difusa_Fugas;0.00%;0.0000;0.0 seg;0;0;3
Z-Score_Termico;0.00%;0.0000;0.0 seg;0;0;1
EWMA_Termico;0.00%;0.0000;0.0 seg;0;0;1
Logica_Difusa_Fugas;0.00%;0.0000;0.0 seg;0;0;3
Z-Score_Termico;0.00%;0.0000;0.0 seg;0;0;1
EWMA_Termico;0.00%;0.0000;0.0 seg;0;0;1
Z-Score_Termico;0.00%;0.0000;0.0 seg;0;0;1
EWMA_Termico;0.00%;0.0000;0.0 seg;0;0;1
Logica_Difusa_Fugas;0.00%;0.0000;0.0 seg;0;0;4
Z-Score_Termico;0.00%;0.0000;0.0 seg;0;0;1
EWMA_Termico;0.00%;0.0000;0.0 seg;0;0;1
Logica_Difusa_Fugas;0.00%;0.0000;0.0 seg;0;0;4
Z-Score_Termico;0.00%;0.0000;0.0 seg;0;0;1
EWMA_Termico;0.00%;0.0000;0.0 seg;0;0;1
Z-Score_Termico;0.00%;0.0000;0.0 seg;0;0;1
EWMA_Termico;0.00%;0.0000;0.0 seg;0;0;1
Logica_Difusa_Fugas;0.00%;0.0000;0.0 seg;0;0;4
Z-Score_Termico;0.00%;0.0000;0.0 seg;0;0;1
EWMA_Termico;0.00%;0.0000;0.0 seg;0;0;1
Logica_Difusa_Fugas;0.00%;0.0000;0.0 seg;0;0;4
Z-Score_Termico;0.00%;0.0000;0.0 seg;0;0;1
EWMA_Termico;0.00%;0.0000;0.0 seg;0;0;1
Z-Score_Termico;0.00%;0.0000;0.0 seg;0;0;1
EWMA_Termico;0.00%;0.0000;0.0 seg;0;0;1
Logica_Difusa_Fugas;0.00%;0.0000;0.0 seg;0;0;4
Z-Score_Termico;0.00%;0.0000;0.0 seg;0;0;1
EWMA_Termico;0.00%;0.0000;0.0 seg;0;0;1
Logica_Difusa_Fugas;0.00%;0.0000;0.0 seg;0;0;4
Z-Score_Termico;0.00%;0.0000;0.0 seg;0;0;1
EWMA_Termico;0.00%;0.0000;0.0 seg;0;0;1
Z-Score_Termico;0.00%;0.0000;0.0 seg;0;0;1
EWMA_Termico;0.00%;0.0000;0.0 seg;0;0;1
Logica_Difusa_Fugas;0.00%;0.0000;0.0 seg;0;0;4
Z-Score_Termico;0.00%;0.0000;0.0 seg;0;0;1
EWMA_Termico;0.00%;0.0000;0.0 seg;0;0;1
Logica_Difusa_Fugas;0.00%;0.0000;0.0 seg;0;0;4
Z-Score_Termico;0.00%;0.0000;0.0 seg;0;0;1
EWMA_Termico;0.00%;0.0000;0.0 seg;0;0;1
Z-Score_Termico;0.00%;0.0000;0.0 seg;0;0;1
EWMA_Termico;0.00%;0.0000;0.0 seg;0;0;1
Logica_Difusa_Fugas;0.00%;0.0000;0.0 seg;0;0;4
Z-Score_Termico;0.00%;0.0000;0.0 seg;0;0;1
EWMA_Termico;0.00%;0.0000;0.0 seg;0;0;1
Logica_Difusa_Fugas;0.00%;0.0000;0.0 seg;0;0;4
Z-Score_Termico;0.00%;0.0000;0.0 seg;0;0;1
EWMA_Termico;0.00%;0.0000;0.0 seg;0;0;1
Z-Score_Termico;0.00%;0.0000;0.0 seg;0;0;1
